"","gmean","variance","residual_variance"
"SPSB1",0.237241986997337,0.520431364906128,1.02663279714275
"LINC02606",0.00252486353365411,0.00362643123828724,0.0906379389542886
"SLC25A33",0.0714826607930432,0.124441956203932,0.698017215214853
"TMEM201",0.0561902680501491,0.084436593521499,0.890229986254352
"PIK3CD",0.0833372908984902,0.149955662698861,1.46817209507474
"PIK3CD-AS2",0.111922856108582,0.220083907773447,0.850208202561152
"CLSTN1",0.496976707251057,1.53616272761917,0.995323707165266
"CTNNBIP1",0.606469849954263,2.20460164496973,0.984133136501399
"AL357140.4",0.00347333003328942,0.00497951546343549,0.123800823447013
"LZIC",0.1864772607899,0.392532630226083,1.14125098599483
"AL357140.2",0.00524143749814088,0.00858442976603229,0.192873676161203
"NMNAT1",0.0481180038875451,0.0769859407514626,0.730787846583884
"RBP7",0.0148467505286725,0.0240911060160111,0.527489911472804
"UBE4B",0.127497195874591,0.254396385816863,0.919177345100703
"KIF1B",0.127210299579725,0.221532576847528,1.04475647600455
"AL139424.2",0.00157729350896618,0.00226962292811564,0.0563207502402247
"PGD",0.54230944368181,2.36317566798705,0.807907214047075
"CENPS",0.107316504759607,0.223107864812403,0.921749261287839
"CORT",0.0103240407439464,0.0156982597350686,0.325315904877769
"DFFA",0.164879650298456,0.319319187603266,1.01242385825718
"PEX14",0.115425833706013,0.199457442190821,0.761417009529062
"CASZ1",0.186762627510024,0.410402031529762,1.04364779823151
"C1orf127",0.0103781572603132,0.0179591931314631,0.33443024884649
"TARDBP",0.49270569584425,1.60622062886555,0.911341338105217
"AL109811.2",0.0303734063793748,0.0467339567451663,0.643612233318823
"SRM",0.354546243676478,1.06347744301012,0.874110492828203
"EXOSC10",0.164505947732565,0.312483422649306,0.889665812617076
"EXOSC10-AS1",0.00664137046900826,0.00946290004431661,0.223514720182202
"MTOR",0.138752691932661,0.312283149632495,0.928754151991098
"UBIAD1",0.107244117838007,0.207304089335007,0.768002638754041
"FBXO2",0.13889170172596,0.342825612270612,0.830771757287233
"FBXO44",0.126773774819758,0.217320636686127,0.847608323507888
"FBXO6",0.185296074298906,0.527153338373264,0.81225246085496
"MAD2L2",0.132378129681362,0.266951104005006,0.870184053272881
"DRAXIN",0.00315707487274586,0.00452890117561088,0.112858158305336
"AGTRAP",0.305262047358237,0.895864651853912,0.846897188401174
